Running 10m test @ http://localhost:9999/math/plus?x=1&y=2
  16 threads and 400 connections
  Thread calibration: mean lat.: 2.200ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.242ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.241ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.160ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.394ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.287ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.271ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.103ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.170ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.128ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.227ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.248ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.081ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.255ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.206ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.280ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.54ms    2.33ms 109.31ms   96.11%
    Req/Sec     1.32k   353.52     4.80k    68.54%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.10ms
 75.000%    1.63ms
 90.000%    2.54ms
 99.000%   11.25ms
 99.900%   30.98ms
 99.990%   50.56ms
 99.999%   83.01ms
100.000%  109.38ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.081     0.000000            1         1.00
       0.409     0.100000      1181794         1.11
       0.604     0.200000      2360295         1.25
       0.778     0.300000      3540690         1.43
       0.944     0.400000      4724230         1.67
       1.103     0.500000      5904986         2.00
       1.182     0.550000      6495516         2.22
       1.268     0.600000      7084930         2.50
       1.364     0.650000      7670911         2.86
       1.481     0.700000      8262354         3.33
       1.629     0.750000      8850347         4.00
       1.720     0.775000      9144396         4.44
       1.825     0.800000      9439801         5.00
       1.948     0.825000      9732998         5.71
       2.103     0.850000     10029336         6.67
       2.299     0.875000     10324583         8.00
       2.411     0.887500     10471282         8.89
       2.535     0.900000     10619642        10.00
       2.671     0.912500     10765982        11.43
       2.827     0.925000     10913211        13.33
       3.017     0.937500     11061081        16.00
       3.135     0.943750     11134426        17.78
       3.291     0.950000     11208225        20.00
       3.531     0.956250     11281578        22.86
       4.007     0.962500     11355146        26.67
       4.931     0.968750     11429095        32.00
       5.531     0.971875     11465830        35.56
       6.219     0.975000     11502609        40.00
       6.963     0.978125     11539504        45.71
       7.763     0.981250     11576321        53.33
       8.719     0.984375     11613221        64.00
       9.311     0.985938     11631649        71.11
       9.983     0.987500     11650206        80.00
      10.743     0.989062     11668527        91.43
      11.607     0.990625     11686921       106.67
      12.743     0.992188     11705420       128.00
      13.503     0.992969     11714603       142.22
      14.399     0.993750     11723789       160.00
      15.439     0.994531     11733056       182.86
      16.719     0.995313     11742261       213.33
      18.335     0.996094     11751490       256.00
      19.263     0.996484     11756045       284.44
      20.319     0.996875     11760646       320.00
      21.711     0.997266     11765262       365.71
      23.263     0.997656     11769894       426.67
      25.007     0.998047     11774481       512.00
      25.967     0.998242     11776788       568.89
      27.039     0.998437     11779100       640.00
      28.239     0.998633     11781400       731.43
      29.615     0.998828     11783715       853.33
      31.215     0.999023     11785991      1024.00
      32.175     0.999121     11787149      1137.78
      33.247     0.999219     11788311      1280.00
      34.399     0.999316     11789474      1462.86
      35.679     0.999414     11790612      1706.67
      37.087     0.999512     11791766      2048.00
      37.919     0.999561     11792345      2275.56
      38.847     0.999609     11792914      2560.00
      39.903     0.999658     11793494      2925.71
      41.087     0.999707     11794053      3413.33
      42.719     0.999756     11794629      4096.00
      43.583     0.999780     11794918      4551.11
      44.607     0.999805     11795205      5120.00
      45.727     0.999829     11795497      5851.43
      47.103     0.999854     11795786      6826.67
      48.703     0.999878     11796070      8192.00
      49.535     0.999890     11796213      9102.22
      50.879     0.999902     11796359     10240.00
      52.447     0.999915     11796503     11702.86
      54.079     0.999927     11796647     13653.33
      55.967     0.999939     11796791     16384.00
      57.151     0.999945     11796861     18204.44
      58.623     0.999951     11796934     20480.00
      60.319     0.999957     11797006     23405.71
